2024-08-24 17:22:38,537 [DEBUG]  add bonus points 0.20513583347201347 (total = 0)
2024-08-24 17:22:38,537 [INFO]  current bonus: 0.0
2024-08-24 17:22:38,537 [INFO]  2/2
2024-08-24 17:22:39,688 [INFO]  MouseLink calibrate
2024-08-24 17:22:39,688 [INFO]  Starting block 1: {'left_cue_condition': 0.5, 'stimA_condition': 0.3}
2024-08-24 17:22:39,688 [INFO]  block 1 label:('<<<<<>>>>>', 'oooxxxxxxx')
2024-08-24 17:22:39,688 [DEBUG]  message: Block 2: 
cue proportion <<<<<>>>>> 
stimulus proportion oooxxxxxxx (None)
2024-08-24 17:22:40,971 [INFO]  begin trial {"cue_direction": "right", "stimulus": "B|B", "correct_response": "j", "left_cue_condition": 0.5, "stimA_condition": 0.3}
2024-08-24 17:22:40,971 [DEBUG]  Trial.log 18.116 initialize status = ok
2024-08-24 17:22:40,971 [DEBUG]  MouseLink message
2024-08-24 17:22:40,971 [DEBUG]  Trial.log 18.116 start recording 
2024-08-24 17:22:40,971 [DEBUG]  MouseLink message
2024-08-24 17:22:40,971 [INFO]  MouseLink start_recording
2024-08-24 17:22:40,971 [DEBUG]  Trial.log 18.116 start 
2024-08-24 17:22:40,971 [DEBUG]  MouseLink message
2024-08-24 17:22:40,972 [DEBUG]  Trial.log 18.117 show fixation 
2024-08-24 17:22:40,972 [INFO]  send trigger 0
2024-08-24 17:22:40,972 [DEBUG]  MouseLink message
2024-08-24 17:22:41,479 [DEBUG]  Trial.log 18.625 show cue 
2024-08-24 17:22:41,480 [INFO]  send trigger 1
2024-08-24 17:22:41,480 [DEBUG]  MouseLink message
