2024-08-24 17:40:58,320 [INFO]  starting up 24-08-24-1740_setting0 at 2.1753501251805574
2024-08-24 17:40:58,350 [INFO]  git SHA: cd5fa54154593ef9c41ab71101e5be212113e163
2024-08-24 17:40:58,350 [INFO]  setting file name: s0
2024-08-24 17:40:58,351 [INFO]  parameters {'points_per_cent': 2, 'time_limit': 5, 'correct_responses': ['f', 'j'], 'combination_num': 8}
2024-08-24 17:40:59,519 [INFO]  Created window with size [3840 2160]
2024-08-24 17:40:59,678 [INFO]  Using dummy triggers
2024-08-24 17:40:59,678 [INFO]  begin main
2024-08-24 17:40:59,678 [DEBUG]  message: Ready? Let go! (None)
2024-08-24 17:41:00,113 [INFO]  Starting block 0: {'left_cue_condition': 0.9, 'stimA_condition': 0.5}
2024-08-24 17:41:00,113 [INFO]  block 0 label:('<<<<<<<<<>', 'oooooxxxxx')
2024-08-24 17:41:00,113 [DEBUG]  message: Block 1: 
cue proportion <<<<<<<<<> 
stimulus proportion oooooxxxxx (None)
2024-08-24 17:41:00,534 [INFO]  begin trial {"cue_direction": "left", "stimulus": "A|A", "correct_response": "f", "left_cue_condition": 0.9, "stimA_condition": 0.5}
2024-08-24 17:41:00,534 [DEBUG]  Trial.log 4.390 initialize status = ok
2024-08-24 17:41:00,534 [DEBUG]  MouseLink message
2024-08-24 17:41:00,534 [DEBUG]  Trial.log 4.390 start recording 
2024-08-24 17:41:00,534 [DEBUG]  MouseLink message
2024-08-24 17:41:00,534 [INFO]  MouseLink start_recording
2024-08-24 17:41:00,534 [DEBUG]  Trial.log 4.390 start 
2024-08-24 17:41:00,535 [DEBUG]  MouseLink message
2024-08-24 17:41:00,536 [DEBUG]  Trial.log 4.392 show fixation 
2024-08-24 17:41:00,536 [INFO]  send trigger 0
2024-08-24 17:41:00,536 [DEBUG]  MouseLink message
2024-08-24 17:41:01,042 [DEBUG]  Trial.log 4.897 show cue 
2024-08-24 17:41:01,042 [INFO]  send trigger 1
