3.3856 	WARNING 	The 'psychtoolbox' library cannot be loaded but is required for audio capture (use `pip install psychtoolbox` to get it). Microphone recording will be unavailable this session. Note that opening a microphone stream will raise an error.
3.3891 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
3.3893 	ERROR 	Support for the `pyo` audio backend is not available this session. Please install `psychopy-pyo` and restart the session to enable support.
3.3895 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
3.4821 	INFO 	time is 2024-08-20 15:19:50,906530
3.5190 	WARNING 	Monitor specification not found. Creating a temporary one...
3.5222 	WARNING 	User requested fullscreen with size [1350  750], but screen is actually [1920, 1080]. Using actual size
4.7444 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

4.7450 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x16f047e20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x16f047dc0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x16f047c10>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x309c464f0>, multiSample=False, name='window1', numSamples=2, pos=[480.0, 270.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=False, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.7453 	EXP 	window1: mouseVisible = True
4.7453 	EXP 	window1: backgroundImage = None
4.7453 	EXP 	window1: backgroundFit = 'cover'
4.7589 	INFO 	Mouse: using default window
4.7592 	EXP 	window1: mouseVisible = True
4.7600 	EXP 	window1: mouseVisible = False
4.7601 	EXP 	window1: units = 'pix'
4.7601 	INFO 	Mouse: using default window
6.4915 	WARNING 	t of last frame was 1732.69ms (=1/0)
8.3791 	DATA 	Keypress: space
8.3835 	WARNING 	t of last frame was 1878.59ms (=1/0)
8.6357 	EXP 	window1: units = 'pix'
8.6358 	INFO 	Mouse: using default window
8.6685 	INFO 	Mouse: using default window
8.6882 	WARNING 	t of last frame was 304.69ms (=1/3)
29.4106 	WARNING 	t of last frame was 20722.42ms (=1/0)
32.4796 	DATA 	Keypress: space
32.4921 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
33.3575 	DATA 	Keypress: space
34.2922 	DATA 	Keypress: space
35.1184 	DATA 	Keypress: space
36.0528 	DATA 	Keypress: space
36.8961 	DATA 	Keypress: space
37.7112 	DATA 	Keypress: space
38.5449 	DATA 	Keypress: space
39.9799 	DATA 	Keypress: space
40.4792 	DATA 	Keypress: space
41.4083 	DATA 	Keypress: space
42.4782 	DATA 	Keypress: space
63.3347 	DATA 	Keypress: space
64.0580 	DATA 	Keypress: space
64.7599 	DATA 	Keypress: space
65.4408 	DATA 	Keypress: space
66.0675 	DATA 	Keypress: space
66.7092 	DATA 	Keypress: space
67.4119 	DATA 	Keypress: space
68.0341 	DATA 	Keypress: space
68.7083 	DATA 	Keypress: space
69.3808 	DATA 	Keypress: space
77.4169 	EXP 	window1: units = 'pix'
87.1923 	EXP 	window1: units = 'pix'
87.2055 	EXP 	window1: units = 'pix'
94.5604 	DATA 	Keypress: space
95.9744 	DATA 	Keypress: space
98.6379 	EXP 	Set  sound=./stim/G|P.mp3
98.6381 	EXP 	Sound  started
100.5284 	DATA 	Keypress: j
105.1065 	EXP 	Set  sound=./stim/P|G.mp3
105.1067 	EXP 	Sound  started
107.4484 	DATA 	Keypress: j
111.7507 	EXP 	Set  sound=./stim/P|G.mp3
111.7509 	EXP 	Sound  started
113.3044 	DATA 	Keypress: j
115.8242 	DATA 	Keypress: space
136.7951 	DATA 	Keypress: a
139.5172 	DATA 	Keypress: a
139.7388 	DATA 	Keypress: a
139.9696 	DATA 	Keypress: a
140.1719 	DATA 	Keypress: a
140.3731 	DATA 	Keypress: a
140.5426 	DATA 	Keypress: a
141.3246 	DATA 	Keypress: k
141.5680 	DATA 	Keypress: k
142.6167 	DATA 	Keypress: escape
142.6183 	EXP 	window1: units = 'pix'
142.6314 	EXP 	window1: units = 'pix'
144.4084 	DATA 	Keypress: space
148.3457 	EXP 	Set  sound=./stim/G|G.mp3
148.3458 	EXP 	Sound  started
149.9124 	DATA 	Keypress: f
154.3776 	EXP 	Set  sound=./stim/G|P.mp3
154.3778 	EXP 	Sound  started
155.5044 	DATA 	Keypress: j
159.5172 	EXP 	Set  sound=./stim/G|G.mp3
159.5173 	EXP 	Sound  started
161.0244 	DATA 	Keypress: f
166.0484 	DATA 	Keypress: space
