1.5101 	WARNING 	The 'psychtoolbox' library cannot be loaded but is required for audio capture (use `pip install psychtoolbox` to get it). Microphone recording will be unavailable this session. Note that opening a microphone stream will raise an error.
1.5133 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
1.5135 	ERROR 	Support for the `pyo` audio backend is not available this session. Please install `psychopy-pyo` and restart the session to enable support.
1.5136 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
1.5269 	INFO 	time is 2024-09-12 16:49:16,611280
1.5469 	WARNING 	Monitor specification not found. Creating a temporary one...
1.5503 	WARNING 	User requested fullscreen with size [1350  750], but screen is actually [1920, 1080]. Using actual size
2.6713 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

2.6720 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x16da46fa0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x16da46f40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x16da46d90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x303119c40>, multiSample=False, name='window1', numSamples=2, pos=[480.0, 270.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=False, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.6723 	EXP 	window1: mouseVisible = True
2.6723 	EXP 	window1: backgroundImage = None
2.6724 	EXP 	window1: backgroundFit = 'cover'
2.6760 	INFO 	Mouse: using default window
2.6761 	EXP 	window1: mouseVisible = True
2.6768 	EXP 	window1: mouseVisible = False
2.6769 	EXP 	window1: units = 'pix'
2.6769 	INFO 	Mouse: using default window
3.1678 	WARNING 	t of last frame was 491.81ms (=1/2)
4.2683 	DATA 	Keypress: space
4.2731 	WARNING 	t of last frame was 1087.89ms (=1/0)
4.5754 	EXP 	window1: units = 'pix'
4.5755 	INFO 	Mouse: using default window
4.6067 	INFO 	Mouse: using default window
4.6259 	WARNING 	t of last frame was 352.88ms (=1/2)
7.9791 	DATA 	Keypress: return
8.0939 	WARNING 	t of last frame was 3467.96ms (=1/0)
8.1620 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
33.6557 	EXP 	window1: units = 'pix'
41.9604 	EXP 	window1: units = 'pix'
41.9636 	EXP 	window1: units = 'pix'
44.1747 	DATA 	Keypress: space
52.1850 	DATA 	Keypress: space
54.8420 	EXP 	Set  sound=./stim/P|P.mp3
54.8422 	EXP 	Sound  started
55.9022 	DATA 	Keypress: j
60.3421 	EXP 	Set  sound=./stim/P|G.mp3
60.3423 	EXP 	Sound  started
62.5184 	DATA 	Keypress: j
67.0379 	EXP 	Set  sound=./stim/G|P.mp3
67.0381 	EXP 	Sound  started
68.3585 	DATA 	Keypress: f
73.4654 	EXP 	Set  sound=./stim/G|G.mp3
73.4656 	EXP 	Sound  started
74.5345 	DATA 	Keypress: f
79.6126 	EXP 	Set  sound=./stim/P|G.mp3
79.6127 	EXP 	Sound  started
80.5984 	DATA 	Keypress: j
85.3159 	EXP 	Set  sound=./stim/G|G.mp3
85.3160 	EXP 	Sound  started
86.5505 	DATA 	Keypress: f
91.4804 	EXP 	Set  sound=./stim/P|G.mp3
91.4805 	EXP 	Sound  started
93.9265 	DATA 	Keypress: j
98.5021 	EXP 	Set  sound=./stim/G|P.mp3
98.5023 	EXP 	Sound  started
100.0065 	DATA 	Keypress: f
104.8322 	EXP 	Set  sound=./stim/P|G.mp3
104.8324 	EXP 	Sound  started
106.4864 	DATA 	Keypress: j
110.8803 	EXP 	Set  sound=./stim/G|P.mp3
110.8805 	EXP 	Sound  started
113.0225 	DATA 	Keypress: j
117.6231 	EXP 	Set  sound=./stim/P|G.mp3
117.6232 	EXP 	Sound  started
119.3339 	DATA 	Keypress: f
124.2535 	EXP 	Set  sound=./stim/G|G.mp3
124.2537 	EXP 	Sound  started
125.5265 	DATA 	Keypress: f
130.5073 	EXP 	Set  sound=./stim/G|P.mp3
130.5075 	EXP 	Sound  started
132.5425 	DATA 	Keypress: j
137.1021 	EXP 	Set  sound=./stim/G|G.mp3
137.1022 	EXP 	Sound  started
138.3008 	DATA 	Keypress: f
142.9425 	EXP 	Set  sound=./stim/P|P.mp3
142.9426 	EXP 	Sound  started
143.8785 	DATA 	Keypress: j
