2.0684 	WARNING 	The 'psychtoolbox' library cannot be loaded but is required for audio capture (use `pip install psychtoolbox` to get it). Microphone recording will be unavailable this session. Note that opening a microphone stream will raise an error.
2.0716 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
2.0717 	ERROR 	Support for the `pyo` audio backend is not available this session. Please install `psychopy-pyo` and restart the session to enable support.
2.0720 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
2.0917 	INFO 	time is 2024-08-24 16:47:06,363643
2.1320 	WARNING 	Monitor specification not found. Creating a temporary one...
2.1349 	WARNING 	User requested fullscreen with size [1350  750], but screen is actually [1920, 1080]. Using actual size
3.3076 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

3.3082 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x16f1f3c40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x16f1f3be0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x16f1f3a30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x3090db7c0>, multiSample=False, name='window1', numSamples=2, pos=[480.0, 270.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=False, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.3085 	EXP 	window1: mouseVisible = True
3.3085 	EXP 	window1: backgroundImage = None
3.3085 	EXP 	window1: backgroundFit = 'cover'
3.3122 	INFO 	Mouse: using default window
3.3123 	EXP 	window1: mouseVisible = True
3.3131 	EXP 	window1: mouseVisible = False
3.3132 	EXP 	window1: units = 'pix'
3.3132 	INFO 	Mouse: using default window
3.8585 	WARNING 	t of last frame was 546.33ms (=1/1)
7.4330 	DATA 	Keypress: space
7.4380 	WARNING 	t of last frame was 3559.67ms (=1/0)
7.7025 	EXP 	window1: units = 'pix'
7.7026 	INFO 	Mouse: using default window
7.7310 	INFO 	Mouse: using default window
7.7529 	WARNING 	t of last frame was 314.91ms (=1/3)
11.7663 	WARNING 	t of last frame was 4013.42ms (=1/0)
12.4907 	DATA 	Keypress: space
12.4991 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
13.3181 	DATA 	Keypress: space
14.1513 	DATA 	Keypress: space
15.0465 	DATA 	Keypress: space
16.4738 	DATA 	Keypress: space
18.5409 	DATA 	Keypress: space
19.6398 	DATA 	Keypress: space
21.1689 	DATA 	Keypress: space
22.4717 	DATA 	Keypress: space
23.8142 	DATA 	Keypress: space
25.1902 	DATA 	Keypress: space
27.3200 	DATA 	Keypress: space
28.6453 	DATA 	Keypress: space
30.3474 	DATA 	Keypress: space
31.7866 	DATA 	Keypress: space
33.1744 	DATA 	Keypress: space
34.4557 	DATA 	Keypress: space
35.7078 	DATA 	Keypress: space
45.6815 	EXP 	window1: units = 'pix'
48.7717 	EXP 	window1: units = 'pix'
48.7832 	EXP 	window1: units = 'pix'
50.4561 	DATA 	Keypress: space
55.3679 	DATA 	Keypress: space
58.0290 	EXP 	Set  sound=./stim/G|G.mp3
58.0291 	EXP 	Sound  started
59.4880 	DATA 	Keypress: f
64.5526 	EXP 	Set  sound=./stim/G|G.mp3
64.5527 	EXP 	Sound  started
65.7281 	DATA 	Keypress: f
70.0991 	EXP 	Set  sound=./stim/G|G.mp3
70.0993 	EXP 	Sound  started
71.1601 	DATA 	Keypress: f
75.7527 	EXP 	Set  sound=./stim/G|G.mp3
75.7529 	EXP 	Sound  started
76.6721 	DATA 	Keypress: f
81.8017 	EXP 	Set  sound=./stim/P|G.mp3
81.8018 	EXP 	Sound  started
83.5121 	DATA 	Keypress: j
89.6403 	EXP 	Set  sound=./stim/G|G.mp3
89.6405 	EXP 	Sound  started
