2.0590 	WARNING 	The 'psychtoolbox' library cannot be loaded but is required for audio capture (use `pip install psychtoolbox` to get it). Microphone recording will be unavailable this session. Note that opening a microphone stream will raise an error.
2.0622 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
2.0624 	ERROR 	Support for the `pyo` audio backend is not available this session. Please install `psychopy-pyo` and restart the session to enable support.
2.0626 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
2.0813 	INFO 	time is 2024-08-24 15:23:17,553615
2.1128 	WARNING 	Monitor specification not found. Creating a temporary one...
2.1167 	WARNING 	User requested fullscreen with size [1350  750], but screen is actually [1920, 1080]. Using actual size
3.2889 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

3.2895 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x16fa54b20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x16fa54ac0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x16fa54910>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x308a476a0>, multiSample=False, name='window1', numSamples=2, pos=[480.0, 270.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=False, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.2898 	EXP 	window1: mouseVisible = True
3.2898 	EXP 	window1: backgroundImage = None
3.2898 	EXP 	window1: backgroundFit = 'cover'
3.3033 	INFO 	Mouse: using default window
3.3034 	EXP 	window1: mouseVisible = True
3.3043 	EXP 	window1: mouseVisible = False
3.3043 	EXP 	window1: units = 'pix'
3.3043 	INFO 	Mouse: using default window
3.8416 	WARNING 	t of last frame was 538.45ms (=1/1)
3.8642 	WARNING 	t of last frame was 22.52ms (=1/44)
8.0675 	DATA 	Keypress: space
8.0728 	WARNING 	t of last frame was 4208.69ms (=1/0)
21.2547 	DATA 	Keypress: space
21.2613 	WARNING 	t of last frame was 13180.87ms (=1/0)
28.3557 	DATA 	Keypress: space
28.3607 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
50.4037 	DATA 	Keypress: space
59.4678 	DATA 	Keypress: space
144.7959 	DATA 	Keypress: space
145.0880 	EXP 	window1: units = 'pix'
145.0882 	INFO 	Mouse: using default window
145.1146 	INFO 	Mouse: using default window
147.6320 	DATA 	Keypress: return
